relative losses,absolute losses,bank,relative losses,absolute losses,bank,relative losses,absolute losses,bank
45,52.0775623269,Santander,68,54.5706371191,Sociele Generale,96,115.2354570637,RBS
48,79.9168975069,JP Morgan,72,67.4515235457,Unicredit,93,235.7340720222,Citigroup
53,118.1440443213,HSBC,70,75.7617728532,BNP-Paribas,64,48.3379501385,Credit Suise
71,81.163434903,UBS,86,65.7894736842,Deutsche Bank,65,65.3739612188,Goldman Sachs
0,0,0,92,83.6565096953,Barclays,67,33.379501385,Morgan Stanley
