Year;Race;Sex;Age 0 to 2;Age 3 to 4;Age 5;Age 6 to 9;Age 10 to 13;Age 14;Age 15;Age 16 to 17;Age 18 to 19;Age 20 to 24;Age 25 to 34;Age 35 to 44;Age 45 to 54;Age 55 to 59;Age 60 to 64;Age 65 to 74;Age 75 to 84;Age 85 to 99;Age 100;Total;medage;Age 0 to 17;Age 18 to 24;Age 25 to 44;Age 45 to 64;Age 65 Plus;Estimate/Projection;Vintage
2040;Black;male;47019;31068;15545;62566;63863;16221;16333;31637;37231;94453;182026;164419;155637;58686;54862;97761;60273;15882;132;1205614;35.27413149;284252;131684;346445;269185;174048;Projection;2024
2042;Other (Including 2 or More Races);male;21467;14217;7102;28607;29327;7438;7469;15061;16592;38428;72530;49263;37573;15441;13763;22287;14169;5732;152;416618;27.93962264;130688;55020;121793;66777;42340;Projection;2024
2045;Black;female;46732;31067;15531;62253;63485;16126;16208;32683;37719;89617;185498;193488;183858;87612;75723;136919;100198;43919;718;1419354;40.66461716;284085;127336;378986;347193;281754;Projection;2024
2058;Other (Including 2 or More Races);male;23064;15313;7684;31230;32527;8353;8417;17018;17609;43863;86081;87064;73619;27424;23530;38337;23858;10552;847;576390;34.67143332;143606;61472;173145;124573;73594;Projection;2024
2026;Asian;male;6767;4206;2234;9622;10427;2603;2624;5841;6601;16136;30138;37566;35824;13536;10470;13905;6940;2063;55;217558;38.15237325;44324;22737;67704;59830;22963;Projection;2024
2035;Other (Including 2 or More Races);male;20452;13537;6764;27229;29135;6907;6849;14057;15088;38336;50052;35812;28415;11923;10351;17122;10948;3297;58;346332;24.32342201;124930;53424;85864;50689;31425;Projection;2024
2036;Other (Including 2 or More Races);female;19858;13161;6601;26595;28171;7127;6750;13565;14392;36782;53676;42007;37532;14921;13122;22329;15305;6037;338;378269;27.50745283;121828;51174;95683;65575;44009;Projection;2024
2036;American Indian / Alaska Native;male;2773;1877;961;4047;4584;1300;1363;2807;3040;7892;19608;18454;16871;8105;7419;11938;6735;2736;160;122670;41.05472901;19712;10932;38062;32395;21569;Projection;2024
2036;Asian;male;8208;5243;2586;10418;10872;2799;2965;6213;7107;18329;39624;42173;47025;21356;18493;25452;13187;5459;219;287728;42.19829329;49304;25436;81797;86874;44317;Projection;2024
2040;Asian;female;8575;5535;2731;10940;11511;3045;3111;6127;6835;18722;43137;50717;56665;27571;24111;36461;21017;11016;593;348420;45.60171706;51575;25557;93854;108347;69087;Projection;2024
2041;American Indian / Alaska Native;female;2640;1819;945;4087;4565;1218;1229;2514;2727;7044;17662;19188;19013;8167;7941;12626;7942;4172;468;125967;43.56691851;19017;9771;36850;35121;25208;Projection;2024
2042;White;male;130758;87438;44024;179013;185929;47708;47534;96577;105690;271839;553972;584654;574605;255682;243992;454905;325821;115416;1086;4306643;41.76614017;818981;377529;1138626;1074279;897228;Projection;2024
2043;Black;male;47802;31657;15813;63505;65075;16544;16640;33822;37034;93118;181212;173885;163159;61646;55913;95706;60707;17851;160;1231249;35.69655943;290858;130152;355097;280718;174424;Projection;2024
2044;Black;female;46563;30894;15431;61886;63140;16023;16096;32433;37493;89381;184830;191331;184831;84107;75202;137202;99288;42750;684;1409565;40.60838654;282466;126874;376161;344140;279924;Projection;2024
2046;Asian;male;9534;6312;3158;12654;12885;3308;3347;6820;7411;19152;43588;52104;51805;26339;24561;40525;23216;10589;745;358053;44.76666043;58018;26563;95692;102705;75075;Projection;2024
2050;Black;female;47531;31641;15874;64094;65404;16593;16705;33776;38982;94390;186910;200805;182817;96978;86683;138416;100864;48806;1088;1468357;41.1642398;291618;133372;387715;366478;289174;Projection;2024
2048;Other (Including 2 or More Races);female;21177;14159;7131;28923;29649;7511;7551;15208;15656;39144;78928;70621;52343;23910;21662;34861;23326;13921;1052;506733;33.57592297;131309;54800;149549;97915;73160;Projection;2024
2052;Other (Including 2 or More Races);male;22316;14867;7480;30465;31573;8026;8057;16225;16790;41846;82247;79177;55283;22017;19591;31550;19614;8775;549;516448;32.31633806;139009;58636;161424;96891;60488;Projection;2024
2024;Other (Including 2 or More Races);female;19311;11560;5834;24434;26113;5452;4611;9046;8778;18791;29845;27045;20034;8140;7820;12800;5655;1959;179;247407;22.10821991;106361;27569;56890;35994;20593;Projection;2024
2027;Asian;male;6923;4319;2159;9505;10734;2690;2696;5631;6637;16689;30799;38230;37141;14636;11124;14795;7460;2325;60;224553;38.63486927;44657;23326;69029;62901;24640;Projection;2024
2033;American Indian / Alaska Native;female;2525;1681;854;3621;4362;1170;1220;2588;2769;7782;16503;17273;15814;7133;6308;9794;6109;2193;195;109894;40.89623188;18021;10551;33776;29255;18291;Projection;2024
2034;White;female;117253;77586;38899;158094;162904;40693;41565;86275;100504;245500;509516;535099;544578;249118;262887;518268;377532;144149;1817;4212237;44.86404123;723269;346004;1044615;1056583;1041766;Projection;2024
2036;Black;female;44540;29526;14757;59018;58047;14898;15547;31497;36722;90057;179850;178454;167204;75376;73495;138103;91798;30312;468;1329669;40.28973558;267830;126779;358304;316075;260681;Projection;2024
2037;Asian;female;8077;5175;2560;10343;11048;2787;2897;6146;7032;18485;41959;47867;55155;25207;21411;31397;18273;8825;407;325051;44.65032124;49033;25517;89826;101773;58902;Projection;2024
2038;Asian;male;8569;5493;2696;10755;11330;2914;2879;6118;6936;18968;40533;43741;48232;22716;19689;28682;14803;6352;293;301699;42.81415433;50754;25904;84274;90637;50130;Projection;2024
2038;Other (Including 2 or More Races);male;20892;13812;6909;27837;28487;7606;7899;14691;14714;38310;60968;41021;32235;13379;11752;19173;12438;4326;81;376530;25.93207448;128133;53024;101989;57366;36018;Projection;2024
2055;Other (Including 2 or More Races);female;21848;14539;7319;29807;31033;7917;7965;16020;16477;40827;83605;87814;67659;27572;26204;45363;29484;17673;2105;581231;36.58222196;136448;57304;171419;121435;94625;Projection;2024
2044;White;female;124524;83611;42157;171212;176502;45010;45077;90598;102616;247015;516420;598096;582171;292723;282066;519713;411428;199187;3098;4533224;45.42418728;778691;349631;1114516;1156960;1133426;Projection;2024
2058;American Indian / Alaska Native;female;2769;1901;991;4351;5128;1406;1437;2999;3150;8081;17548;21451;24900;11036;10604;18945;13455;8998;2334;161484;49.01009346;20982;11231;38999;46540;43732;Projection;2024
2028;Other (Including 2 or More Races);male;19419;13212;7046;25407;26807;6899;6995;14433;11434;24361;34268;26347;20799;8553;7411;13134;7143;1483;33;275184;21.10927718;120218;35795;60615;36763;21793;Projection;2024
2029;American Indian / Alaska Native;male;2507;1673;871;3924;4663;1276;1285;2630;3053;9499;16412;16028;14822;6940;6005;9330;4859;1341;64;107182;38.44310345;18829;12552;32440;27767;15594;Projection;2024
2035;Asian;male;8010;5130;2536;10275;10632;2870;2978;6257;7126;17883;39111;41566;46131;20668;17823;23908;12469;5073;186;280632;41.88019391;48688;25009;80677;84622;41636;Projection;2024
2042;White;female;123862;82763;41599;168538;173487;44274;44397;89488;101192;243671;521671;576748;582284;284738;272753;515706;411310;189420;2681;4470582;45.4233667;768408;344863;1098419;1139775;1119117;Projection;2024
2042;Other (Including 2 or More Races);female;20700;13710;6867;27725;28438;7192;7235;14576;15929;36839;71888;52772;44760;19594;16985;27714;19293;10011;539;442767;30.60760226;126443;52768;124660;81339;57557;Projection;2024
2044;Black;male;47986;31846;15910;63847;65423;16655;16764;34057;37876;92629;180777;177195;163952;64413;56005;95206;60789;18476;174;1239980;35.85530479;292488;130505;357972;284370;174645;Projection;2024
2051;American Indian / Alaska Native;female;2673;1856;971;4251;4997;1363;1393;2879;2984;7475;16589;22134;21711;10293;9826;16246;10893;6931;1307;146772;46.60915197;20383;10459;38723;41830;35377;Projection;2024
2052;Black;male;49377;32776;16443;66430;68288;17377;17486;35600;39557;98118;181825;184598;168916;79515;73776;96631;59138;21718;340;1307909;36.65385031;303777;137675;366423;322207;177827;Projection;2024
2055;American Indian / Alaska Native;female;2716;1875;976;4290;5062;1391;1426;2961;3098;7856;17059;21180;24234;10472;10476;17760;12411;8049;1884;155176;47.97893527;20697;10954;38239;45182;40104;Projection;2024
2057;American Indian / Alaska Native;female;2751;1896;986;4322;5102;1400;1434;2996;3141;8017;17337;21405;24778;10774;10512;18543;13162;8675;2166;159397;48.66459744;20887;11158;38742;46064;42546;Projection;2024
2023;Other (Including 2 or More Races);female;18656;11483;5890;24485;24906;4528;4453;8703;8267;17719;28872;25434;18823;7793;7395;11896;4960;1897;179;236339;21.74794047;103104;25986;54306;34011;18932;Estimate;2023
2031;American Indian / Alaska Native;male;2596;1725;881;3855;4647;1298;1347;2746;2834;9062;17504;16689;15447;7217;6476;10049;5366;1677;74;111490;39.23586522;19095;11896;34193;29140;17166;Projection;2024
2048;Black;female;47183;31446;15766;63440;64580;16414;16526;33395;38507;92400;186605;197873;181421;96912;80226;136712;101630;46934;935;1448905;40.93515531;288750;130907;384478;358559;286211;Projection;2024
2050;Asian;male;9815;6520;3277;13368;13936;3578;3613;7300;7821;20310;44661;54498;55577;27108;26318;45398;28666;13430;1086;386280;45.76828636;61407;28131;99159;109003;88580;Projection;2024
2057;White;female;130850;87158;43930;179772;189440;49107;49495;100135;112390;273754;548945;618221;665350;312322;312610;607417;428143;229577;6014;4944630;46.3859279;829887;386144;1167166;1290282;1271151;Projection;2024
2057;Black;male;50678;33557;16780;67542;69545;17798;17948;36579;40467;100399;185880;184440;179713;78891;75569;112723;58451;22681;463;1350104;37.05234443;310427;140866;370320;334173;194318;Projection;2024
2027;Other (Including 2 or More Races);female;18624;13205;6386;24186;25976;6711;6858;12704;9982;22000;33607;31784;23825;9683;8896;15479;8012;2405;195;280518;23.41266748;114650;31982;65391;42404;26091;Projection;2024
2031;Black;male;44729;29503;14736;57340;62017;16066;16275;33249;36690;96138;164232;160258;118673;58388;59533;100987;49317;9498;100;1127729;34.5410508;273915;132828;324490;236594;159902;Projection;2024
2056;White;male;137253;91524;46223;189753;201306;52350;52389;106551;115641;299606;581214;627863;650469;292811;294880;515675;331332;144461;2533;4733834;42.89270099;877349;415247;1209077;1238160;994001;Projection;2024
2058;Asian;female;10041;6643;3348;13866;15025;3966;4048;8283;8910;22524;49342;63048;70628;33514;31830;63049;47581;28409;3250;487305;49.9814449;65220;31434;112390;135972;142289;Projection;2024
2022;Asian;female;6095;4310;2198;9173;9780;2794;2870;5729;6085;13401;31746;39172;32521;11573;9460;14237;6292;1886;68;209390;37.76469079;42949;19486;70918;53554;22483;Estimate;2023
2022;Asian;male;6365;4420;2351;9239;9610;2733;2787;5422;5793;13282;28879;33458;29502;10428;7848;10669;4938;1269;39;189032;36.14308275;42927;19075;62337;47778;16915;Estimate;2023
2031;Black;female;43402;28624;14278;55272;59817;15218;15495;31593;36349;91835;166591;181066;151609;74617;75726;135392;80973;21791;421;1280069;39.47409446;263699;128184;347657;301952;238577;Projection;2024
2032;Black;female;43658;28822;14364;55822;59348;15347;15390;31526;36715;90833;169892;181768;153133;73866;76437;135621;83514;23477;421;1289954;39.70299557;264277;127548;351660;303436;243033;Projection;2024
2020;White;female;104944;73849;37791;152709;173084;44263;43556;86840;94984;218144;465556;470735;486985;262654;257339;438488;227745;89169;1736;3730571;42.77360762;717036;313128;936291;1006978;757138;Estimate;2023
2045;American Indian / Alaska Native;male;2785;1945;1026;4457;5126;1398;1429;2962;3110;8238;17976;23290;20614;9349;8708;15298;9775;5172;621;143279;44.02976465;21128;11348;41266;38671;30866;Projection;2024
2021;Asian;female;6199;4303;2206;9017;9842;2781;2744;5648;5796;12764;31722;37774;30648;10913;8960;13422;5583;1719;56;202097;37.16398338;42740;18560;69496;50521;20780;Estimate;2023
2021;White;male;109810;76211;39837;160690;177764;47556;46362;92444;98156;241237;476415;457916;475215;247336;239577;390672;185491;49494;825;3613008;40.22625105;750674;339393;934331;962128;626482;Estimate;2023
2024;White;male;115823;74507;38020;163654;171308;46179;47536;97998;103222;256941;486089;480265;470715;242764;248366;413520;221542;52323;867;3731639;40.48389035;755025;360163;966354;961845;688252;Projection;2024
2026;Other (Including 2 or More Races);female;18788;13029;5910;24174;25990;6773;6910;10400;9728;20813;32253;30310;22471;9117;8581;14614;7200;2203;179;269443;22.96228916;111974;30541;62563;40169;24196;Projection;2024
2035;American Indian / Alaska Native;male;2744;1852;945;3974;4580;1316;1324;2816;3043;7758;19586;18206;16454;7798;7329;11545;6468;2519;142;120399;40.71579805;19551;10801;37792;31581;20674;Projection;2024
2043;Black;female;46365;30711;15333;61543;62783;15902;15981;32208;36553;89959;184971;187788;185681;80936;75194;136923;98964;41424;646;1399865;40.55251427;280826;126512;372759;341811;277957;Projection;2024
2047;Black;male;48444;32258;16178;64987;66374;16917;17054;34714;38533;93679;181632;181612;162227;77656;57619;93901;61357;19984;226;1265352;36.21837417;296926;132212;363244;297502;175468;Projection;2024
2048;American Indian / Alaska Native;female;2652;1833;962;4220;4933;1337;1361;2786;2868;7159;16560;22248;20313;10069;8760;15470;9866;6093;959;140449;45.60862471;20084;10027;38808;39142;32388;Projection;2024
2047;American Indian / Alaska Native;male;2786;1944;1019;4473;5220;1429;1468;3050;3199;8284;18331;23406;21248;9891;9040;16109;10473;5758;798;147926;44.72993311;21389;11483;41737;40179;33138;Projection;2024
2052;White;male;134382;90044;45618;188109;199501;51515;51348;103958;112655;291490;563952;629702;617627;293387;286855;483593;328226;138099;2124;4612185;42.63843408;864475;404145;1193654;1197869;952042;Projection;2024
2032;Black;male;45004;29712;14823;57879;61598;16052;16269;33388;37011;95070;167737;162909;119934;57333;59606;100955;50865;10311;99;1136555;34.59686656;274725;132081;330646;236873;162230;Projection;2024
2038;American Indian / Alaska Native;male;2795;1915;989;4169;4663;1269;1317;2857;3020;8101;19410;19288;17756;8393;7760;12635;7391;3220;221;127169;41.72179417;19974;11121;38698;33909;23467;Projection;2024
2041;Other (Including 2 or More Races);female;20577;13622;6819;27562;28244;7147;7195;14783;15745;36391;69507;50527;43770;18836;16197;26673;18708;9310;485;432098;30.06615483;125949;52136;120034;78803;55176;Projection;2024
2044;Asian;female;9011;5937;2957;11852;12275;3179;3233;6630;7288;18427;44146;55658;57178;29627;27781;43651;25414;13974;944;379162;46.66199003;55074;25715;99804;114586;83983;Projection;2024
2053;Black;male;49622;32906;16495;66628;68593;17466;17582;35765;39702;98600;182284;183944;172415;77844;76968;98159;58925;21864;358;1316120;36.74562207;305057;138302;366228;327227;179306;Projection;2024
2025;American Indian / Alaska Native;female;2252;1715;826;3794;4530;1220;1544;3346;3196;7139;14027;14605;13374;5411;4900;8046;3793;1134;85;94937;37.46543624;19227;10335;28632;23685;13058;Projection;2024
2028;American Indian / Alaska Native;male;2456;1663;876;3952;4662;1244;1265;2608;3457;9408;15941;15488;14721;6769;5780;8989;4565;1192;54;105090;38.00681115;18726;12865;31429;27270;14800;Projection;2024
2034;American Indian / Alaska Native;female;2557;1710;867;3698;4348;1160;1208;2559;2760;7419;17065;17405;16180;7253;6576;10087;6358;2397;211;111818;41.24900512;18107;10179;34470;30009;19053;Projection;2024
2046;Black;male;48301;32143;16095;64607;66056;16859;16971;34524;38305;93021;181456;180438;163208;73101;56751;94183;61376;19489;201;1257085;36.12132413;295556;131326;361894;293060;175249;Projection;2024
2036;Black;male;45928;30449;15237;61064;60664;15664;16281;33205;37590;93520;178078;164607;135176;57774;55710;101224;56085;13260;111;1171627;34.88887897;278492;131110;342685;248660;170680;Projection;2024
2042;Black;male;47566;31465;15717;63191;64721;16437;16526;33647;35892;94182;181960;170213;161389;60163;55585;96205;60672;17226;149;1222906;35.53488985;289270;130074;352173;277137;174252;Projection;2024
2050;White;female;126318;84830;42970;176785;185128;47405;47503;95449;107055;259540;523526;618239;608866;306255;305761;551270;413145;219350;4546;4723941;45.73789768;806388;366595;1141765;1220882;1188311;Projection;2024
2024;Black;female;39601;28198;14157;57505;58766;15219;16053;33095;36025;84447;170560;154257;151257;75845;75811;122154;56369;16990;599;1206908;38.00025525;262594;120472;324817;302913;196112;Projection;2024
2032;White;male;121680;80730;40685;166863;171487;45033;45775;94762;102046;276175;515492;544868;492648;227889;248913;459772;280812;79629;518;3995777;41.21907676;767015;378221;1060360;969450;820731;Projection;2024
2043;Asian;male;9277;6074;3010;11933;12167;3145;3202;6576;7137;18698;42566;49300;50576;24754;23205;36259;19546;8874;543;336842;44.01437025;55384;25835;91866;98535;65222;Projection;2024
2050;White;male;133330;89560;45428;187387;197597;50811;50595;102393;111006;287662;559702;628529;599192;295781;273336;471382;329253;136346;1947;4551237;42.42827838;857101;398668;1188231;1168309;938928;Projection;2024
2054;Other (Including 2 or More Races);female;21733;14471;7282;29698;30895;7861;7902;15889;16350;40539;82760;86506;64863;26724;25763;43794;28513;17136;1931;570610;36.18588375;135731;56889;169266;117350;91374;Projection;2024
2028;Other (Including 2 or More Races);female;18758;12732;6799;24680;25938;6696;6802;14020;11079;22991;35271;33076;25284;10263;9216;16324;8802;2636;200;291567;23.86076097;116425;34070;68347;44763;27962;Projection;2024
2035;Asian;female;7719;4953;2466;10058;10553;2822;2966;6274;7019;18023;40798;46713;53560;23223;19914;28025;16674;7443;320;309523;43.9315135;47811;25042;87511;96697;52462;Projection;2024
2043;Other (Including 2 or More Races);female;20803;13819;6915;27912;28637;7252;7286;14660;15448;37736;74150;55005;45665;20375;17766;28798;19878;10688;604;453397;31.12858048;127284;53184;129155;83806;59968;Projection;2024
2045;Asian;male;9456;6244;3112;12429;12631;3246;3290;6728;7335;18944;43115;51511;51144;25816;24171;39206;21884;10000;675;350937;44.51130319;57136;26279;94626;101131;71765;Projection;2024
2021;Asian;male;6431;4537;2313;8887;9754;2699;2635;5294;5552;12651;28565;32414;27813;9761;7341;9982;4480;1122;34;182265;35.59336167;42550;18203;60979;44915;15618;Estimate;2023
2024;White;female;109288;70534;36105;154713;162045;43376;45231;92454;101729;236826;457545;503741;487495;251697;268882;477437;280681;91526;1966;3873271;43.45387715;713746;338555;961286;1008074;851610;Projection;2024
2043;American Indian / Alaska Native;male;2785;1955;1019;4406;5013;1355;1382;2877;3038;8211;18318;22392;19770;8871;8655;14622;8928;4568;466;138631;43.34138902;20792;11249;40710;37296;28584;Projection;2024
2048;Other (Including 2 or More Races);male;21957;14660;7381;29878;30645;7776;7819;15749;16289;40962;79850;67535;46915;19379;16930;27697;17174;7671;355;476622;30.7034264;135865;57251;147385;83224;52897;Projection;2024
2029;American Indian / Alaska Native;female;2359;1574;801;3741;4388;1241;1259;2599;3026;8512;14590;16202;14592;6447;5325;8966;5032;1510;121;102285;39.24095348;17962;11538;30792;26364;15629;Projection;2024
2031;Asian;female;7100;4636;2339;9281;10621;2919;3014;6179;6739;17653;36369;46608;48163;19787;16086;22751;13636;4926;192;278999;42.25038715;46089;24392;82977;84036;41505;Projection;2024
2044;Other (Including 2 or More Races);female;20888;13903;6968;28116;28831;7303;7339;14754;15243;38461;76205;57139;46708;21232;18497;29966;20486;11322;677;464038;31.63708238;128102;53704;133344;86437;62451;Projection;2024
2060;Asian;male;10652;7016;3522;14454;15499;4084;4168;8560;9237;23860;50123;59541;65811;31790;28450;53902;40808;23533;2232;457242;47.75393883;67955;33097;109664;126051;120475;Projection;2024
2026;Black;male;42698;27513;14668;59527;62047;15689;15856;34208;39166;90031;163257;135628;118361;62967;61985;94261;39652;7822;192;1085528;33.77861206;272206;129197;298885;243313;141927;Projection;2024
2027;American Indian / Alaska Native;female;2290;1561;888;3731;4506;1225;1249;2886;3474;7888;14066;15331;14159;5937;5070;8519;4393;1297;87;98557;38.34808168;18336;11362;29397;25166;14296;Projection;2024
2036;Asian;female;7898;5064;2506;10190;10784;2805;2910;6240;7017;18317;41387;47210;54455;24190;20669;29671;17487;8113;360;317273;44.29725871;48397;25334;88597;99314;55631;Projection;2024
2050;Other (Including 2 or More Races);male;22120;14758;7428;30200;31117;7894;7927;15983;16546;41190;81247;73751;50869;20766;18200;29549;18309;8224;450;496528;31.53379152;137427;57736;154998;89835;56532;Projection;2024
2039;Other (Including 2 or More Races);male;21050;13902;6950;28033;28675;7289;7691;15586;14850;38191;64154;42930;33570;13842;12301;19845;12900;4666;95;386520;26.44915922;129176;53041;107084;59713;37506;Projection;2024
2046;Other (Including 2 or More Races);female;21037;14050;7060;28516;29226;7405;7446;14976;15426;39417;77407;63694;49263;22777;20087;32231;21863;12654;825;485360;32.62937853;129716;54843;141101;92127;67573;Projection;2024
2031;White;female;114344;75846;38194;155430;158782;42465;43332;87448;98398;254416;482015;536640;519894;245797;264197;519587;357960;119817;1724;4116286;44.46575694;715841;352814;1018655;1029888;999088;Projection;2024
2042;American Indian / Alaska Native;male;2795;1955;1018;4374;4940;1336;1369;2843;3024;8216;18568;21725;19341;8740;8554;14206;8650;4273;404;136331;42.9835636;20630;11240;40293;36635;27533;Projection;2024
2027;Asian;female;6715;4158;2102;9294;10604;2781;2839;5715;6674;17037;32429;44667;41492;16261;12545;18638;10188;3294;120;247553;40.38864093;44208;23711;77096;70298;32240;Projection;2024
2034;White;male;123767;82034;41236;168441;176060;44023;44520;92985;104536;270862;536064;548680;508525;230789;243615;461485;292622;88559;602;4059405;41.43542231;773066;375398;1084744;982929;843268;Projection;2024
2046;Other (Including 2 or More Races);male;21823;14559;7307;29455;30173;7667;7706;15499;16039;41233;78177;60670;43298;18086;15695;25826;16085;7072;269;456639;29.82110033;134189;57272;138847;77079;49252;Projection;2024
2047;Black;female;47028;31333;15697;63054;64197;16319;16434;33164;38238;90736;187017;196153;182024;94465;78333;136195;101718;45922;851;1438878;40.82261619;287226;128974;383170;354822;284686;Projection;2024
2053;White;male;135006;90349;45744;188412;200146;51788;51693;104710;113436;293575;567585;628140;628466;291607;291720;490348;328844;138907;2228;4642704;42.71403785;867848;407011;1195725;1211793;960327;Projection;2024
2060;Asian;female;10261;6766;3398;14046;15277;4039;4116;8458;9134;23252;50745;63925;71894;35481;32250;64142;50561;31357;3664;502766;50.34859944;66361;32386;114670;139625;149724;Projection;2024
2020;American Indian / Alaska Native;male;2470;1767;896;3683;5841;1561;1594;3190;2894;6849;13533;12935;12134;5259;4418;6413;2462;546;24;88469;34.96914894;21002;9743;26468;21811;9445;Estimate;2023
2027;White;female;111358;74081;37337;149432;164686;42026;42115;86909;104883;250327;459052;522950;488878;260940;261629;504321;315420;100940;1641;3978925;43.93272192;707944;355210;982002;1011447;922322;Projection;2024
2040;Black;female;45609;30149;15075;60592;61533;15566;15652;29805;36699;90842;185208;177765;183393;76386;74142;136656;97882;37061;546;1370561;40.38100751;273981;127541;362973;333921;272145;Projection;2024
2047;Asian;male;9602;6369;3191;12873;13166;3360;3402;6920;7490;19453;43853;52698;52572;26694;24889;41796;24683;11185;830;365026;45.02499081;58883;26943;96551;104155;78494;Projection;2024
2050;Black;male;48947;32552;16340;65978;67523;17176;17304;35270;39212;96970;181117;184599;163367;83260;65089;94748;59895;21337;302;1290986;36.46945005;301090;136182;365716;311716;176282;Projection;2024
2058;White;female;131708;87646;44145;180442;189799;49197;49601;100479;112944;275662;552794;620702;667724;318943;311148;612859;434711;229595;6232;4976331;46.43886689;833017;388606;1173496;1297815;1283397;Projection;2024
2027;American Indian / Alaska Native;male;2419;1669;907;3947;4617;1221;1238;2860;3631;9237;15475;15023;14477;6547;5667;8625;4299;1063;55;102977;37.60512983;18878;12868;30498;26691;14042;Projection;2024
2033;White;male;122706;81357;40936;167505;173551;44432;45117;94319;103508;272898;526355;547776;499801;228400;247452;460150;286405;84702;552;4027922;41.32978048;769923;376406;1074131;975653;831809;Projection;2024
2044;Asian;male;9374;6166;3070;12182;12389;3192;3245;6644;7269;18785;42829;50597;50769;25262;23713;37754;20678;9431;609;343958;44.2480016;56262;26054;93426;99744;68472;Projection;2024
2051;Black;female;47730;31744;15924;64336;65789;16692;16799;33960;39176;95051;187665;201660;185065;95145;90014;140111;100826;49263;1155;1478105;41.24097441;292974;134227;389325;370224;291355;Projection;2024
2059;White;male;139934;93045;46891;191709;202285;52545;52666;107466;117177;305186;592278;636328;658530;309058;290101;539622;342340;144952;2834;4824947;43.1050561;886541;422363;1228606;1257689;1029748;Projection;2024
2030;Other (Including 2 or More Races);male;19722;13028;6523;27278;26438;6964;7026;14238;15142;27108;38178;29085;22862;9372;8142;14257;8294;1847;37;295541;21.91849784;121217;42250;67263;40376;24435;Projection;2024
2035;White;male;124803;82709;41569;169380;178073;44809;44110;91749;104134;270995;543392;549169;517945;234378;238155;463715;299152;91895;657;4090789;41.52869491;777202;375129;1092561;990478;855419;Projection;2024
2040;White;male;129570;86201;43346;176096;183049;47144;47047;95601;103411;272334;554216;566425;563064;251277;235460;457673;323278;108846;919;4244957;41.731659;808054;375745;1120641;1049801;890716;Projection;2024
2046;Black;female;46884;31210;15617;62658;63843;16228;16331;32932;37976;89891;186557;194686;182977;91067;76994;136311;101286;44938;759;1429145;40.73592308;285703;127867;381243;351038;283294;Projection;2024
2049;Asian;male;9743;6476;3251;13231;13683;3506;3533;7162;7695;20082;44336;53843;54517;27039;25764;44262;27362;12654;1002;379141;45.52963287;60585;27777;98179;107320;85280;Projection;2024
2053;White;female;127902;85594;43275;177912;187780;48405;48605;97787;109533;265574;531078;617027;640016;302301;314421;577666;417011;221295;5197;4818379;46.02549819;817260;375107;1148105;1256738;1221169;Projection;2024
2058;White;male;139007;92504;46649;191019;201924;52497;52598;107253;116767;303406;588279;633938;656427;302585;291880;531739;338002;145376;2738;4794588;43.03297457;883451;420173;1222217;1250892;1017855;Projection;2024
2030;Other (Including 2 or More Races);female;19049;12603;6327;26404;25670;6723;6831;13829;14688;25755;38773;35628;28147;11325;9967;17928;10510;3173;225;313555;24.76137348;117436;40443;74401;49439;31836;Projection;2024
2034;Black;male;45479;30121;15045;60229;60046;15958;16172;33407;37555;93146;174834;165615;124931;56976;58297;100732;53645;11949;104;1154241;34.70146464;276457;130701;340449;240204;166430;Projection;2024
2030;White;male;119711;79728;40314;164121;171309;46386;46237;92337;100748;281037;498224;533779;479846;238353;243378;456573;269458;69489;442;3931470;40.96835041;760143;381785;1032003;961577;795962;Projection;2024
2035;American Indian / Alaska Native;female;2576;1734;887;3758;4288;1223;1189;2534;2729;7155;17552;17450;16567;7487;6757;10424;6615;2637;236;113798;41.62954796;18189;9884;35002;30811;19912;Projection;2024
2037;White;female;120185;79611;39918;161451;166991;42867;42933;84056;97966;247334;520336;540163;565090;265012;250660;522332;398656;161761;2065;4309387;45.18937614;738012;345300;1060499;1080762;1084814;Projection;2024
2041;American Indian / Alaska Native;male;2800;1944;1010;4339;4874;1316;1352;2813;3039;8199;18816;20989;19010;8589;8369;13805;8384;4002;355;134005;42.66251905;20448;11238;39805;35968;26546;Projection;2024
2041;Asian;male;9039;5864;2890;11423;11757;3068;3131;6390;6768;19005;41927;46629;49965;24064;21844;33143;17554;7826;427;322714;43.57777778;53562;25773;88556;95873;58950;Projection;2024
2042;Asian;male;9165;5973;2955;11669;11959;3104;3164;6524;6896;18830;42325;47948;50348;24385;22563;34728;18498;8337;483;329854;43.78892734;54513;25726;90273;97296;62046;Projection;2024
2049;White;male;132898;89361;45354;186876;196373;50427;50213;101587;110183;286020;558215;625954;593064;295052;266307;465789;330671;134788;1869;4521001;42.30838543;853089;396203;1184169;1154423;933117;Projection;2024
2050;Other (Including 2 or More Races);female;21331;14250;7180;29236;30108;7624;7662;15423;15885;39385;80167;76845;55975;24842;23340;37599;24831;15050;1307;528040;34.48876269;132814;55270;157012;104157;78787;Projection;2024
2028;Asian;female;6793;4396;2085;9188;10703;2828;2876;5821;6538;17442;33223;45282;43320;17310;13251;19596;11034;3675;132;255493;40.86285166;44690;23980;78505;73881;34437;Projection;2024
2034;Black;female;44110;29196;14564;58226;57403;15331;15473;31363;36794;89254;176942;180637;158331;74402;76103;135940;88129;26904;429;1309531;40.08552104;265666;126048;357579;308836;251402;Projection;2024
