Year;Race;Sex;Age 0 to 2;Age 3 to 4;Age 5;Age 6 to 9;Age 10 to 13;Age 14;Age 15;Age 16 to 17;Age 18 to 19;Age 20 to 24;Age 25 to 34;Age 35 to 44;Age 45 to 54;Age 55 to 59;Age 60 to 64;Age 65 to 74;Age 75 to 84;Age 85 to 99;Age 100;Total;medage;Age 0 to 17;Age 18 to 24;Age 25 to 44;Age 45 to 64;Age 65 Plus;Estimate/Projection;Vintage
2039;Black;female;45327;29989;15001;60229;61084;15462;14827;30058;37076;90716;184144;176546;180709;75880;73551;137218;96717;35432;521;1360487;40.34650627;271977;127792;360690;330140;269888;Projection;2024
2055;Black;male;50136;33200;16625;67048;69133;17659;17783;36172;40062;99537;183819;183492;177646;76685;78924;103860;58657;22292;406;1333136;36.9118426;307756;139599;367311;333255;185215;Projection;2024
2037;Black;female;44790;29674;14846;59435;59493;14200;15084;31596;36875;90368;181127;177321;172108;75630;72852;138487;93455;32024;479;1339844;40.32790126;269118;127243;358448;320590;264445;Projection;2024
2037;Asian;male;8386;5367;2641;10575;11131;2787;2893;6209;6979;18710;40074;42866;47685;22077;19067;27105;13949;5887;251;294639;42.52289991;49989;25689;82940;88829;47192;Projection;2024
2020;Other (Including 2 or More Races);female;17076;11700;5976;24688;17756;4005;3776;7262;7060;14630;25798;20604;15555;6889;6213;9085;3455;1574;104;203206;20.69209973;92239;21690;46402;28657;14218;Estimate;2023
2021;Black;male;43283;29193;14728;59042;63685;16798;16176;32180;35498;84204;159802;119562;124519;65558;59583;82762;28888;7223;287;1042971;32.55952855;275085;119702;279364;249660;119160;Estimate;2023
2027;Black;male;43588;27214;14227;59485;62366;15759;15872;33121;39100;92025;161929;141748;117434;62982;61340;96136;41635;8011;156;1094128;33.9973206;271632;131125;303677;241756;145938;Projection;2024
2032;Other (Including 2 or More Races);female;19342;12785;6396;26762;26137;6663;6765;13868;14489;31002;42938;37654;31238;12348;11048;19302;12257;3956;263;335213;25.68664107;118718;45491;80592;54634;35778;Projection;2024
2056;Black;female;48922;32436;16228;65418;67302;17171;17298;34938;40113;97784;192042;203346;199727;89939;93973;154671;101462;51814;1503;1526087;41.5537832;299713;137897;395388;383639;309450;Projection;2024
2058;Black;female;49467;32766;16387;65951;67709;17299;17448;35312;40534;98708;195854;203441;202839;93194;89539;162711;102044;52454;1626;1545283;41.67672139;302339;139242;399295;385572;318835;Projection;2024
2030;White;female;113443;75442;38061;153556;160062;42992;43334;86508;98149;256533;474581;535314;511033;252166;259064;518867;347955;114859;1686;4083605;44.3285473;713398;354682;1009895;1022263;983367;Projection;2024
2032;American Indian / Alaska Native;female;2495;1648;843;3604;4363;1187;1231;2632;2747;8140;15882;17087;15492;6925;6067;9585;5880;1971;170;107949;40.50367647;18003;10887;32969;28484;17606;Projection;2024
2043;White;male;131169;87927;44350;180427;187424;48058;47856;97093;106116;273682;552093;595545;577758;259464;247391;454876;326449;118684;1206;4337568;41.80636605;824304;379798;1147638;1084613;901215;Projection;2024
2044;American Indian / Alaska Native;male;2783;1949;1018;4438;5078;1378;1406;2922;3071;8219;18089;22975;20212;9081;8690;14919;9333;4865;538;140964;43.6758653;20972;11290;41064;37983;29655;Projection;2024
2049;American Indian / Alaska Native;male;2804;1947;1020;4482;5276;1456;1495;3123;3294;8478;18551;23174;22338;10545;9386;16566;11200;6439;1009;152583;45.47947686;21603;11772;41725;42269;35214;Projection;2024
2052;Asian;male;9948;6626;3332;13615;14364;3711;3752;7600;8109;20843;45144;55666;58170;27258;27216;47433;31398;14975;1264;400424;46.23449193;62948;28952;100810;112644;95070;Projection;2024
2057;Asian;female;9937;6593;3328;13771;14895;3932;4002;8183;8788;22138;48583;62717;69891;32574;31834;62400;45962;26983;3053;479564;49.77014716;64641;30926;111300;134299;138398;Projection;2024
2040;American Indian / Alaska Native;female;2634;1819;945;4040;4492;1195;1212;2503;2772;7028;17791;18700;18715;8087;7639;12260;7740;3904;427;123903;43.27802078;18840;9800;36491;34441;24331;Projection;2024
2044;White;male;131482;88347;44629;181845;188992;48455;48211;97701;106716;276039;549975;605837;578986;265229;250346;454598;327873;121739;1286;4368286;41.86080791;829662;382755;1155812;1094561;905496;Projection;2024
2057;Asian;male;10310;6851;3449;14155;15138;3974;4046;8283;8861;22667;47795;58130;63586;29217;27836;52013;37627;20071;1833;435842;47.31165141;66206;31528;105925;120639;111544;Projection;2024
2058;Other (Including 2 or More Races);female;22244;14787;7427;30219;31425;8042;8104;16371;16863;41766;84898;89671;78571;30804;27528;49614;32830;19372;2647;613183;37.69866434;138619;58629;174569;136903;104463;Projection;2024
2028;American Indian / Alaska Native;female;2317;1546;832;3756;4472;1227;1252;2592;3397;8261;14286;15715;14453;6188;5168;8744;4694;1390;99;100389;38.78358645;17994;11658;30001;25809;14927;Projection;2024
2034;American Indian / Alaska Native;male;2707;1827;927;3906;4611;1279;1331;2827;3012;7924;19325;17835;16201;7629;7147;11070;6169;2321;119;118167;40.35915105;19415;10936;37160;30977;19679;Projection;2024
2051;Black;male;49154;32662;16393;66225;67913;17271;17380;35421;39382;97503;181368;184983;165571;81576;69583;95592;59418;21577;320;1299292;36.56466007;302419;136885;366351;316730;176907;Projection;2024
2052;American Indian / Alaska Native;female;2684;1858;971;4260;5017;1373;1401;2904;3013;7564;16653;21946;22324;10293;10081;16617;11284;7173;1436;148852;46.96534447;20468;10577;38599;42698;36510;Projection;2024
2052;American Indian / Alaska Native;male;2840;1963;1023;4507;5331;1480;1528;3209;3407;8834;18797;22683;24317;10801;10164;17619;12268;7463;1372;159606;46.60362794;21881;12241;41480;45282;38722;Projection;2024
2053;Other (Including 2 or More Races);female;21624;14411;7254;29596;30727;7805;7841;15762;16226;40255;81971;84356;62647;26096;25250;42209;27528;16619;1773;559950;35.7754591;135020;56481;166327;113993;88129;Projection;2024
2054;American Indian / Alaska Native;male;2866;1980;1033;4523;5362;1487;1541;3249;3463;9035;19060;22320;25584;11035;10789;18124;12968;8215;1657;164291;47.33722655;22041;12498;41380;47408;40964;Projection;2024
