DATE,UNRATE,CPIAUCSL,DFF,USRECM
01/10/2011,8.8,3.52227,0.07,0
01/11/2011,8.6,3.45143,0.08,0
01/12/2011,8.5,3.06207,0.07,0
01/01/2012,8.3,3.0169,0.08,0
01/02/2012,8.3,2.91981,0.1,0
01/03/2012,8.2,2.62188,0.13,0
01/04/2012,8.2,2.31734,0.14,0
01/05/2012,8.2,1.74195,0.16,0
01/06/2012,8.2,1.64586,0.16,0
01/07/2012,8.2,1.36649,0.16,0
01/08/2012,8.1,1.65321,0.13,0
01/09/2012,7.8,1.93736,0.14,0
01/10/2012,7.8,2.16318,0.16,0
01/11/2012,7.7,1.80879,0.16,0
01/12/2012,7.9,1.78195,0.16,0
01/01/2013,8,1.65935,0.14,0
01/02/2013,7.7,2.02647,0.15,0
01/03/2013,7.5,1.4937,0.14,0
01/04/2013,7.6,1.12087,0.15,0
01/05/2013,7.5,1.38727,0.11,0
01/06/2013,7.5,1.68529,0.09,0
01/07/2013,7.3,1.87066,0.09,0
01/08/2013,7.3,1.48144,0.08,0
01/09/2013,7.3,1.14942,0.08,0
01/10/2013,7.2,0.92551,0.09,0
01/11/2013,6.9,1.26774,0.08,0
01/12/2013,6.7,1.5458,0.09,0
01/01/2014,6.6,1.63831,0.07,0
01/02/2014,6.7,1.12272,0.07,0
01/03/2014,6.7,1.54275,0.08,0
01/04/2014,6.2,2.00081,0.09,0
01/05/2014,6.2,2.11648,0.09,0
01/06/2014,6.1,2.0051,0.1,0
01/07/2014,6.2,1.93771,0.09,
01/08/2014,6.2,1.67804,0.09,
01/09/2014,6,1.65552,0.09,
01/10/2014,5.7,1.64757,0.09,
01/11/2014,5.8,1.30268,0.09,
01/12/2014,5.6,0.68853,0.12,
01/01/2015,5.7,-0.20473,0.11,
01/02/2015,5.5,-0.08743,0.11,
01/03/2015,5.5,-0.01611,0.11,
01/04/2015,5.4,-0.12601,0.12,
01/05/2015,5.5,0.03083,0.12,
01/06/2015,5.3,0.17172,0.13,
01/07/2015,5.3,0.2002,0.13,
01/08/2015,5.1,0.22769,0.14,
01/09/2015,5.1,-0.00884,0.14,
01/10/2015,5,0.12539,0.12,
01/11/2015,5,0.43876,0.12,
01/12/2015,5,0.66691,0.24,
01/01/2016,4.9,1.34196,0.34,
01/02/2016,4.9,0.9736,0.38,
01/03/2016,5,0.87383,0.36,
01/04/2016,5,1.14015,0.37,
01/05/2016,4.7,1.06976,0.37,
