fips,unemp
13137,2.3
13139,3.9
13141,5.9
13143,5.3
13145,5.8
13147,3.8
13149,5.2
13151,5.6
13153,5.0
13155,3.6
13157,3.4
13159,7.2
13161,4.9
13163,5.0
13165,5.0
13167,7.1
13169,3.7
13171,3.5
13173,3.4
13175,5.7
13177,3.6
13179,8.0
13181,3.8
13183,5.4
13185,5.7
13187,5.6
13189,3.7
13191,3.2
13193,8.6
13195,4.7
13197,4.1
13199,6.3
13201,5.4
13205,6.6
13207,4.0
13209,6.1
13211,2.9
13213,5.0
13215,6.5
13217,6.6
13219,3.0
13221,3.3
13223,4.5
13225,6.7
13227,3.8
13229,4.0
13231,4.4
13233,5.8
13235,5.2
13237,4.4
13239,31.1
13241,2.1
13243,10.3
13245,7.9
13247,5.8
13249,4.1
13251,5.7
13253,5.0
13255,5.4
13257,5.2
13259,4.7
13261,4.8
13263,3.8
13265,4.6
13267,6.9
13269,7.2
13271,5.0
13273,8.1
13275,6.5
13277,3.3
13279,3.9
13281,3.5
13283,8.1
13285,5.5
13287,11.6
13289,4.0
13291,3.6
13293,2.7
13295,5.0
13297,5.4
13299,4.8
13301,7.7
13303,4.8
13305,6.7
13307,5.6
13309,6.5
13311,3.3
13313,5.4
13315,6.3
13317,2.4
13319,5.3
13321,6.4
15001,6.2
15003,4.8
15005,0.0
15007,3.9
15009,5.6
16001,3.1
16003,6.6
16005,4.6
16007,2.6
16009,3.9
16011,5.8
16013,2.6
16015,3.0
16017,3.9
16019,3.8
16021,3.3
16023,4.4
16025,0.0
16027,3.4
16029,2.9
16031,2.5
16033,1.9
16035,3.5
16037,2.1
16039,6.6
16041,1.8
16043,4.6
16045,2.8
16047,5.0
16049,3.7
16051,2.5
16053,3.8
16055,3.3
16057,6.1
16059,3.4
16061,3.5
16063,5.7
16065,8.8
16067,3.0
16069,2.9
16071,1.5
16073,2.1
16075,3.3
16077,5.9
16079,5.1
16081,1.5
16083,3.2
16085,2.9
16087,4.7
17001,3.6
17003,9.4
17005,4.3
17007,7.8
17009,2.2
17011,5.0
17013,3.7
17015,4.3
17017,4.9
17019,4.5
17021,4.7
17023,4.0
17025,5.9
17027,3.3
17029,6.8
17031,6.9
17033,4.0
17035,2.4
17037,7.1
17039,4.8
17041,3.1
17043,4.8
17045,4.4
17047,6.1
17049,2.2
17051,3.4
17053,5.4
17055,6.5
17057,6.6
17059,7.3
17061,4.2
17063,4.5
17065,5.4
17067,4.4
17069,3.3
17071,8.6
17073,4.0
17075,4.8
17077,7.2
17079,3.7
17081,6.6
17083,4.4
17085,3.0
